experiment,rmse,mae,r2
Ridge (alpha=1.0),32753.295793157966,23914.882078204762,0.06624677120507794
Ridge (alpha=10.0),32753.233704338236,23914.789283029506,0.0662503113423093
RandomForest (n_estimators=100),34301.84038583877,24067.082181719652,-0.024134379598386824
"RandomForest (n_estimators=200, max_depth=15)",33933.063501361525,24019.48299471242,-0.002231945763117693
